x y
499.4 -287.0
492.5 -279.0
502.9 -280.8
506.4 -278.7
506.3 -274.6
485.9 -259.7
500.8 -263.7
496.2 -257.4
497.8 -254.4
499.3 -251.3
506.2 -250.9
502.4 -245.2
498.4 -239.5
499.9 -236.4
497.7 -231.7
495.5 -227.0
496.9 -223.9
498.2 -220.9
496.8 -216.6
498.2 -213.5
496.7 -209.3
498.0 -206.3
498.3 -202.8
500.5 -200.1
500.8 -196.7
502.0 -193.6
503.1 -190.5
499.6 -185.7
498.9 -182.0
500.0 -178.9
501.0 -175.8
502.1 -172.7
502.2 -169.3
503.2 -166.3
495.7 -160.4
496.7 -157.3
497.6 -154.3
496.7 -150.7
497.6 -147.6
498.5 -144.6
491.6 -139.3
492.5 -136.3
493.3 -133.3
494.1 -130.2
498.8 -128.2
499.6 -125.1
500.3 -122.1
501.1 -119.0
500.8 -115.7
501.5 -112.6
502.2 -109.5
502.9 -106.5
503.5 -103.4
502.2 -99.9
497.9 -95.9
503.4 -93.7
503.9 -90.6
504.5 -87.5
501.0 -83.8
501.5 -80.7
499.1 -77.2
499.5 -74.1
502.0 -71.3
500.4 -68.0
500.8 -64.9
501.2 -61.8
492.6 -57.7
493.0 -54.7
495.3 -51.9
495.6 -48.8
495.9 -45.8
497.2 -42.8
497.4 -39.8
503.6 -37.2
497.9 -33.7
497.1 -30.5
497.2 -27.5
497.4 -24.4
497.5 -21.4
491.7 -18.1
500.8 -15.4
489.9 -12.0
504.9 -9.3
502.0 -6.2
502.0 -3.1
498.0 0.0
498.0 3.1
496.0 6.1
495.9 9.1
497.9 12.2
494.8 15.2
494.7 18.2
493.5 21.2
493.4 24.2
493.2 27.3
497.1 30.5
500.9 33.9
500.6 36.9
500.4 40.0
500.1 43.1
499.9 46.1
499.6 49.2
497.3 52.1
502.9 55.8
496.6 58.2
498.2 61.5
497.8 64.5
499.4 67.8
497.0 70.6
498.5 74.0
498.1 77.0
496.6 79.9
496.1 83.0
502.5 87.2
501.9 90.3
501.4 93.4
500.8 96.4
497.3 98.9
496.6 102.0
496.0 105.0
496.3 108.3
495.7 111.3
496.9 114.8
496.2 117.8
497.4 121.4
496.7 124.4
495.9 127.5
495.1 130.5
490.4 132.5
489.6 135.5
3030.7 858.8
3180.0 922.2
3019.9 895.9
3014.4 914.4
2742.2 850.2
2736.9 867.1
2731.6 883.8
2827.7 934.1
2833.3 955.3
2829.3 973.3
2826.1 991.7
2817.1 1008.0
2810.9 1025.2
2804.5 1042.5
2804.6 1062.1
2826.0 1090.1
2825.8 1110.0
2834.7 1133.6
2827.7 1151.0
2841.9 1177.1
2839.2 1196.5
2837.3 1216.3
2844.5 1240.0
2861.5 1268.4
2872.8 1294.6
2845.7 1303.4
2830.4 1317.5
2829.5 1338.2
2823.0 1356.4
2814.6 1373.7
2818.7 1397.2
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
3469.0 2380.0
3415.0 2373.9
3328.4 2344.1
3313.9 2364.5
3299.4 2384.8
3278.2 2400.3
0.0 0.0
5.6 4.2
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
5.4 4.4
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
5.2 4.7
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
5.6 5.7
0.0 0.0
0.0 0.0
0.0 0.0
2254.2 2426.6
2225.7 2425.6
2210.8 2439.2
2195.8 2452.7
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
4.5 5.4
0.0 0.0
2372.6 2891.1
2334.1 2879.9
2309.5 2885.6
2273.7 2877.0
2246.2 2878.3
2226.7 2889.6
2198.6 2889.7
2177.2 2898.3
2151.1 2900.4
2125.0 2902.2
2095.4 2899.0
2062.5 2890.6
